lat,lon,rainfall_mm_per_day,elevation_m,slope_percent,soil_type,built_up_percentage,distance_to_water_body_km,drainage_density,sar_backscatter_coefficient,surface_roughness_index,moisture_index,flood_risk_score,flood_risk_category
30.899812,75.641117,234.03,442.07,12.19,loamy,15.46,9.3,4.32,-0.59,0.811,0.881,0.423,Medium
31.094626,75.732874,279.24,401.12,25.92,clay,26.68,7.87,0.54,-3.2,0.859,0.222,0.465,Medium
30.984121,75.722076,238.6,113.8,0.71,sandy,32.83,8.64,4.83,-18.02,0.641,0.4,0.452,Medium
31.014486,75.975695,34.6,485.2,5.36,clay,26.55,1.08,2.17,-6.79,0.314,0.606,0.313,Low
30.954078,75.830635,76.42,354.39,0.05,clay,53.85,7.19,3.71,-8.23,0.364,0.07,0.294,Low
30.93208,75.725566,254.4,359.88,9.01,sandy,40.84,4.02,1.48,-21.82,0.42,0.94,0.566,Medium
31.161122,75.846206,90.28,273.97,0.01,sandy,42.99,5.8,3.27,-13.38,0.442,0.214,0.275,Low
31.160472,75.91841,50.91,42.4,15.46,loamy,33.52,8.18,3.76,-8.18,0.225,0.199,0.21,Low
30.897937,75.790055,254.92,36.41,12.43,loamy,19.44,6.96,2.47,-18.9,0.656,0.006,0.38,Medium
31.108018,75.642635,127.54,87.94,28.74,loamy,5.02,2.49,4.24,-13.59,0.801,0.668,0.343,Medium
31.038181,75.980016,267.43,306.33,21.58,loamy,83.06,5.48,4.49,-6.41,0.475,0.259,0.593,Medium
31.055065,75.906325,156.39,313.37,8.24,sandy,28.57,2.72,1.6,-11.5,0.138,0.231,0.338,Medium
31.082568,75.625692,122.28,271.31,12.47,sandy,42.01,9.05,2.92,-7.61,0.857,0.766,0.39,Medium
30.802358,75.740704,226.04,426.72,28.6,loamy,74.75,5.46,3.02,-19.49,0.219,0.436,0.514,Medium
30.934452,75.871657,121.3,82.52,14.02,sandy,62.23,0.27,1.97,-10.89,0.027,0.643,0.477,Medium
30.984679,75.620114,113.73,105.83,9.81,clay,37.91,7.52,4.16,-18.69,0.082,0.019,0.291,Low
31.199963,75.739984,195.04,390.62,19.55,clay,94.96,1.99,0.1,-21.19,0.126,0.669,0.607,Medium
30.887186,75.879786,230.07,83.89,18.22,clay,11.45,8.19,4.82,-22.3,0.026,0.312,0.392,Medium
31.183269,75.758662,214.5,38.0,20.72,loamy,10.19,7.72,4.25,-9.99,0.121,0.984,0.5,Medium
30.938882,75.771351,111.17,252.98,10.24,clay,82.23,1.06,4.8,-9.11,0.829,0.707,0.525,Medium
31.093518,75.986189,81.02,404.1,16.15,loamy,43.56,7.31,1.34,-3.71,0.831,0.087,0.236,Low
30.897545,75.785883,183.1,189.49,0.86,clay,18.18,2.12,3.99,-16.49,0.88,0.701,0.478,Medium
30.80406,75.979225,25.68,360.04,14.66,clay,69.06,6.46,2.45,-5.18,0.093,0.222,0.302,Low
30.922482,75.832622,141.98,265.46,12.77,clay,33.08,7.03,1.35,-18.71,0.121,0.193,0.321,Low
31.014346,75.904876,55.54,108.19,14.53,clay,97.66,5.25,1.41,-22.49,0.194,0.227,0.402,Medium
30.805659,75.813654,82.29,487.15,16.6,loamy,12.63,8.68,2.45,-3.18,0.574,0.469,0.2,Low
30.873745,75.620551,282.32,238.86,24.66,loamy,7.41,6.29,0.27,-21.27,0.563,0.304,0.412,Medium
30.847381,75.905777,181.9,395.37,6.77,loamy,45.05,4.43,4.3,-0.25,0.305,0.621,0.445,Medium
31.096036,75.979036,62.34,105.51,19.81,sandy,17.38,0.75,0.01,-13.74,0.594,0.291,0.259,Low
31.082782,75.881195,136.21,343.69,27.72,clay,62.51,6.61,4.67,-14.37,0.545,0.648,0.434,Medium
31.130652,75.628564,49.78,153.81,22.47,loamy,28.86,1.24,3.44,-7.51,0.943,0.5,0.283,Low
30.832177,75.615944,129.61,161.16,7.51,sandy,96.19,8.36,2.88,-1.23,1.0,0.672,0.529,Medium
30.816093,75.902508,141.15,325.75,27.48,sandy,58.53,6.35,2.46,-22.72,0.348,0.333,0.319,Low
31.143093,75.731921,208.1,144.11,28.36,clay,55.01,4.55,1.57,-16.92,0.97,0.404,0.501,Medium
31.195248,75.863064,162.78,206.62,5.63,sandy,75.64,6.25,3.8,-19.91,0.549,0.928,0.537,Medium
31.0793,75.64857,291.94,304.44,7.18,sandy,55.08,5.52,0.47,-0.19,0.913,0.461,0.573,Medium
31.132857,75.79935,214.98,254.44,8.2,clay,98.02,2.44,2.76,-15.41,0.922,0.508,0.743,High
31.145611,75.710499,237.0,207.47,28.03,loamy,82.05,2.83,1.49,-10.33,0.999,0.49,0.647,Medium
31.015432,75.73805,165.58,271.72,13.66,sandy,18.87,6.97,2.86,-19.16,0.776,0.044,0.243,Low
31.082091,75.924564,115.82,331.84,24.62,clay,49.53,0.37,2.51,-10.25,0.87,0.874,0.482,Medium
31.01038,75.782771,216.73,204.99,19.64,sandy,46.95,9.69,1.69,-7.68,0.65,0.852,0.541,Medium
31.143737,75.752004,95.0,359.36,22.78,clay,3.59,0.68,3.16,-1.98,0.997,0.747,0.35,Medium
30.839377,75.853499,261.77,221.84,20.82,clay,4.6,7.96,1.47,-15.63,0.146,0.531,0.465,Medium
31.117008,75.667993,23.69,435.42,18.59,sandy,91.28,1.43,2.31,-18.65,0.255,0.009,0.235,Low
31.160484,75.871044,47.39,220.86,10.37,loamy,63.89,4.24,1.25,-3.87,0.199,0.385,0.349,Medium
30.894882,75.828769,172.44,496.35,8.86,clay,65.82,2.74,2.83,-7.86,0.745,0.049,0.396,Medium
30.998691,75.961662,85.86,399.43,18.21,sandy,63.66,6.21,3.39,-6.98,0.659,0.838,0.397,Medium
31.161361,75.858536,92.68,220.41,17.39,clay,9.01,2.95,3.74,-20.61,0.132,0.539,0.321,Low
31.012341,75.965395,249.14,128.49,24.74,loamy,80.65,7.47,1.69,-22.12,0.963,0.141,0.592,Medium
31.144056,75.889687,293.98,483.63,24.14,sandy,79.07,0.14,2.68,-13.63,0.673,0.672,0.698,High
31.128967,75.976117,32.5,116.91,0.75,clay,56.14,9.15,1.11,-23.42,0.824,0.909,0.44,Medium
30.963318,75.655911,283.88,152.18,14.78,sandy,88.73,1.36,2.27,-8.24,0.743,0.946,0.846,High
31.096908,75.661809,124.47,49.51,14.68,loamy,95.15,0.33,1.85,-13.92,0.951,0.855,0.587,Medium
31.074272,75.817786,293.35,179.34,11.94,sandy,12.22,8.48,2.27,-8.43,0.642,0.597,0.48,Medium
31.114718,75.697428,37.78,282.29,2.06,clay,20.72,2.16,4.35,-16.79,0.148,0.901,0.342,Medium
31.143362,75.657875,39.0,125.33,5.23,loamy,2.58,0.15,3.95,-19.05,0.324,0.174,0.149,Low
31.096687,75.810434,223.7,238.12,23.34,loamy,10.91,5.04,4.73,-23.92,0.783,0.867,0.413,Medium
30.983217,75.98561,18.25,239.49,12.05,loamy,49.03,9.1,0.37,-22.98,0.608,0.066,0.157,Low
31.053231,75.819343,97.56,497.31,15.92,loamy,60.54,0.99,3.51,-3.68,0.651,0.769,0.408,Medium
30.886009,75.780622,68.55,169.47,13.6,loamy,9.51,4.27,3.33,-15.64,0.153,0.923,0.312,Low
31.132709,75.637292,28.97,369.4,24.35,loamy,58.65,5.62,1.65,-21.94,0.354,0.665,0.286,Low
31.147237,75.888424,290.52,300.21,10.55,loamy,21.27,6.57,1.12,-22.29,0.845,0.368,0.451,Medium
31.02964,75.922889,253.55,487.27,24.55,loamy,64.27,0.26,4.65,-4.26,0.267,0.18,0.432,Medium
30.923594,75.73593,1.83,434.93,16.99,loamy,14.19,6.33,0.15,-6.35,0.215,0.42,0.147,Low
30.948021,75.888638,233.05,283.8,2.55,sandy,15.74,6.18,3.37,-18.2,0.662,0.486,0.397,Medium
30.909267,75.901977,34.15,214.96,8.5,loamy,48.66,6.67,0.23,-15.12,0.599,0.008,0.202,Low
30.884494,75.654894,76.66,164.06,0.23,clay,17.57,3.8,3.52,-12.49,0.833,0.806,0.394,Medium
31.144706,75.616921,5.62,460.58,25.86,loamy,57.34,7.09,2.09,-22.12,0.021,0.325,0.162,Low
31.04725,75.93281,275.93,44.06,25.33,sandy,58.89,5.24,1.98,-17.24,0.34,0.333,0.516,Medium
31.004193,75.645611,152.99,452.96,10.48,clay,81.89,8.15,1.18,-21.34,0.197,0.602,0.494,Medium
31.062204,75.670858,231.85,247.06,22.63,clay,44.89,9.24,2.82,-9.12,0.625,0.864,0.57,Medium
30.860383,75.627315,132.66,151.41,8.24,sandy,50.73,3.1,2.26,-23.58,0.832,0.077,0.335,Medium
31.142117,75.846003,152.12,231.36,16.63,clay,89.59,4.5,4.05,-8.7,0.322,0.476,0.508,Medium
30.824749,75.641401,269.74,171.72,21.43,loamy,17.26,2.48,2.19,-14.01,0.523,0.159,0.399,Medium
30.913157,75.763508,101.51,298.94,23.68,loamy,6.59,0.95,3.39,-17.9,0.724,0.657,0.289,Low
31.149312,75.733345,174.82,70.71,10.49,clay,69.85,3.92,2.98,-1.55,0.31,0.377,0.567,Medium
31.125274,75.868047,248.69,369.39,20.56,loamy,64.6,4.23,1.81,-15.94,0.18,0.214,0.459,Medium
30.994508,75.690617,41.27,38.58,25.33,sandy,77.09,8.35,4.42,-24.06,0.337,0.766,0.35,Medium
30.950688,75.664899,249.4,385.55,24.27,sandy,43.77,4.11,3.38,-19.06,0.444,0.285,0.394,Medium
30.979571,75.813604,92.84,404.31,14.07,clay,36.78,9.47,4.92,-13.46,0.282,0.382,0.266,Low
31.186507,75.926756,240.38,69.2,7.5,loamy,87.41,5.55,0.51,-3.85,0.851,0.285,0.716,High
30.909117,75.962122,44.2,218.74,28.39,sandy,45.11,3.5,0.13,-23.67,0.502,0.236,0.244,Low
30.949965,75.611275,279.25,419.59,19.5,clay,13.76,2.87,4.15,-7.6,0.139,0.706,0.508,Medium
30.8021,75.63169,76.78,417.48,16.46,clay,52.78,1.11,1.44,-17.47,0.048,0.42,0.362,Medium
30.982845,75.644343,271.54,298.37,0.49,loamy,24.19,1.44,2.15,-9.63,0.241,0.417,0.501,Medium
30.834246,75.989862,20.3,263.03,15.22,clay,55.42,3.9,2.35,-9.11,0.981,0.254,0.273,Low
31.115408,75.737921,219.88,314.13,23.15,clay,33.25,0.44,2.73,-4.66,0.175,0.779,0.551,Medium
31.078156,75.852694,243.45,31.55,23.29,loamy,29.34,0.44,1.0,-23.95,0.933,0.515,0.519,Medium
31.017212,75.701326,225.99,95.55,10.71,clay,86.58,3.32,0.62,-15.8,0.889,0.743,0.822,High
30.954658,75.989489,148.86,248.76,27.73,loamy,80.11,7.27,0.39,-9.94,0.822,0.545,0.455,Medium
30.832028,75.864368,91.95,301.31,12.78,loamy,35.15,0.42,4.35,-16.19,0.998,0.275,0.277,Low
31.179162,75.630016,191.25,181.66,24.03,loamy,95.28,1.43,3.04,-5.47,0.035,0.067,0.481,Medium
30.946531,75.753142,170.17,302.55,20.37,clay,37.2,7.63,2.87,-11.76,0.398,0.65,0.43,Medium
30.845379,75.89427,149.71,193.49,16.85,sandy,26.03,4.46,4.98,-17.86,0.916,0.491,0.31,Low
31.141131,75.780817,269.6,222.56,2.63,loamy,84.55,3.2,1.74,-23.38,0.542,0.891,0.802,High
31.084724,75.97093,191.31,396.85,15.26,sandy,20.1,1.39,3.95,-24.34,0.554,0.369,0.318,Low
31.020659,75.844779,25.86,154.65,29.99,clay,52.57,7.69,4.12,-23.16,0.972,0.642,0.301,Low
31.072044,75.737806,263.39,390.13,19.19,sandy,96.63,4.33,4.55,-23.61,0.124,0.153,0.549,Medium
30.929064,75.883733,103.81,470.45,26.85,clay,25.06,6.35,2.75,-21.87,0.303,0.533,0.269,Low
30.867454,75.976643,46.26,329.37,21.62,loamy,84.25,5.64,4.13,-24.29,0.045,0.641,0.326,Low
31.060452,75.906784,124.98,319.5,14.94,loamy,28.97,9.57,2.41,-4.88,0.685,0.297,0.255,Low
30.823965,75.775842,145.28,102.01,18.2,sandy,71.84,7.34,4.3,-0.62,0.131,0.371,0.434,Medium
30.927646,75.786589,80.24,123.96,2.9,sandy,38.41,6.15,1.24,-3.37,0.16,0.327,0.346,Medium
30.925086,75.905249,149.48,257.36,14.96,sandy,2.32,9.45,2.53,-0.83,0.215,0.353,0.256,Low
30.997958,75.952936,196.28,235.29,16.1,clay,43.09,8.82,3.64,-5.9,0.366,0.401,0.449,Medium
30.877862,75.821289,22.06,252.13,22.93,sandy,98.91,6.8,0.59,-0.62,0.394,0.795,0.443,Medium
31.175579,75.901986,59.72,254.56,15.0,sandy,13.7,3.33,2.37,-13.58,0.606,0.516,0.24,Low
31.045227,75.665001,297.18,369.66,8.98,sandy,82.83,5.32,3.54,-17.51,0.816,0.368,0.657,Medium
31.191959,75.833481,239.03,362.66,20.64,sandy,47.46,9.67,3.91,-5.6,0.578,0.721,0.476,Medium
30.868205,75.85161,185.92,420.58,4.43,loamy,3.16,9.48,0.55,-24.53,0.314,0.151,0.237,Low
30.964151,75.909989,276.16,436.41,22.08,sandy,13.81,2.07,1.63,-8.44,0.525,0.314,0.386,Medium
31.16485,75.736931,106.29,385.99,21.63,loamy,69.33,6.1,0.96,-18.84,0.558,0.225,0.318,Low
30.919046,75.715602,62.18,352.49,9.51,sandy,93.37,7.95,1.37,-21.95,0.677,0.38,0.36,Medium
31.127351,75.981844,241.38,145.23,8.63,clay,34.64,4.42,1.28,-13.02,0.202,0.539,0.581,Medium
31.078469,75.654909,184.7,293.42,7.27,loamy,53.1,6.38,0.26,-14.67,0.717,0.101,0.387,Medium
30.802073,75.820141,278.73,203.45,28.05,clay,47.74,1.99,4.82,-16.97,0.646,0.908,0.61,Medium
31.029653,75.814061,216.94,468.33,27.4,sandy,88.22,1.76,4.6,-0.07,0.397,0.495,0.616,Medium
31.184853,75.970416,263.02,4.63,17.04,sandy,98.3,2.85,4.95,-11.42,0.494,0.939,0.846,High
30.987208,75.677125,33.79,81.25,13.77,sandy,18.62,7.37,3.95,-10.81,0.757,0.175,0.183,Low
31.158817,75.930796,154.58,43.37,20.08,sandy,14.06,3.24,1.24,-18.48,0.236,0.754,0.444,Medium
30.920778,75.889153,3.43,326.84,20.78,sandy,11.82,3.07,2.03,-12.44,0.895,0.704,0.2,Low
30.846966,75.966452,88.51,307.31,6.57,sandy,15.32,7.48,3.03,-14.6,0.549,0.471,0.246,Low
31.065638,75.687365,74.24,377.37,26.19,sandy,44.67,7.04,0.39,-10.9,0.062,0.548,0.293,Low
31.029081,75.659941,98.44,260.17,3.49,sandy,58.31,0.91,2.55,-4.78,0.453,0.513,0.418,Medium
30.823095,75.784951,242.07,361.64,11.88,clay,74.58,5.78,0.23,-16.39,0.064,0.994,0.801,High
30.827608,75.97351,9.52,204.43,23.07,clay,97.83,6.46,2.1,-0.18,0.382,0.87,0.512,Medium
30.950258,75.873092,198.54,269.65,19.61,sandy,17.85,5.37,2.64,-6.8,0.223,0.003,0.262,Low
30.919345,75.8694,163.33,265.97,24.7,sandy,34.62,2.76,4.69,-6.87,0.113,0.809,0.422,Medium
31.106421,75.953503,4.69,103.04,3.03,sandy,59.78,7.03,0.24,-6.49,0.402,0.234,0.284,Low
31.145492,75.622578,151.17,144.63,24.47,clay,31.89,5.98,3.36,-16.98,0.302,0.143,0.333,Medium
30.888417,75.7202,18.29,474.26,26.39,clay,62.6,4.27,2.48,-0.69,0.942,0.671,0.353,Medium
30.927494,75.76653,44.77,188.23,22.63,loamy,84.93,3.01,3.54,-4.86,0.915,0.562,0.41,Medium
31.022915,75.653637,72.86,101.67,19.4,clay,84.71,0.92,3.62,-20.24,0.268,0.674,0.497,Medium
31.149448,75.675265,228.51,362.15,16.77,loamy,86.95,3.33,4.79,-24.62,0.937,0.962,0.665,High
31.199829,75.791568,72.78,302.2,6.14,clay,55.21,7.76,1.9,-11.66,0.359,0.262,0.334,Medium
30.998911,75.639443,294.4,234.75,25.19,clay,37.07,4.14,2.81,-19.47,0.146,0.261,0.511,Medium
31.031657,75.767031,45.72,164.93,11.4,clay,49.93,6.55,3.42,-18.57,0.822,0.967,0.439,Medium
30.996238,75.667293,238.49,84.63,21.61,loamy,91.69,5.42,3.21,-23.53,0.034,0.847,0.75,High
31.067286,75.905736,123.72,421.27,6.94,clay,0.91,5.06,1.87,-9.55,0.667,0.617,0.339,Medium
30.995142,75.602645,165.49,5.93,15.88,sandy,97.75,0.17,4.07,-8.15,0.806,0.91,0.642,Medium
30.838526,75.659559,57.58,263.23,24.46,sandy,39.69,3.73,2.03,-10.87,0.99,0.226,0.235,Low
31.139147,75.861494,257.47,379.79,2.81,sandy,55.27,0.56,0.05,-20.72,0.5,0.434,0.541,Medium
31.026343,75.943184,28.61,264.08,1.28,sandy,86.81,8.88,2.38,-23.84,0.074,0.926,0.433,Medium
31.025404,75.613161,278.63,157.24,28.84,loamy,75.23,7.13,1.99,-23.08,0.162,0.24,0.609,Medium
30.955663,75.95861,99.52,377.8,4.2,clay,72.42,5.01,4.87,-23.66,0.437,0.839,0.452,Medium
31.107602,75.981943,119.01,386.78,0.89,sandy,99.26,4.91,1.78,-1.47,0.432,0.68,0.536,Medium
30.834278,75.847446,239.42,356.55,2.46,sandy,71.17,6.34,3.7,-17.08,0.107,0.005,0.497,Medium
30.943967,75.707907,39.75,93.7,13.47,loamy,40.8,0.26,1.77,-22.67,0.598,0.324,0.276,Low
30.916739,75.75512,25.41,450.57,27.16,clay,57.2,1.7,1.9,-21.53,0.301,0.493,0.265,Low
30.973871,75.768441,145.27,38.46,7.55,sandy,62.5,5.94,0.98,-22.33,0.305,0.949,0.549,Medium
31.048077,75.921631,98.86,167.37,24.46,clay,97.42,1.36,1.6,-1.32,0.201,0.314,0.525,Medium
31.18749,75.716579,208.49,245.5,17.28,sandy,37.61,8.16,1.96,-22.15,0.564,0.592,0.421,Medium
31.072685,75.82004,285.9,230.81,21.25,loamy,29.13,6.93,4.09,-5.11,0.409,0.499,0.482,Medium
30.896808,75.863465,214.57,394.54,2.22,clay,47.92,4.01,2.53,-1.99,0.692,0.544,0.549,Medium
30.943812,75.958201,161.07,319.09,2.55,clay,65.76,3.55,3.23,-23.89,0.984,0.677,0.508,Medium
31.101073,75.986287,129.14,5.27,7.76,loamy,51.88,5.81,2.88,-13.86,0.391,0.772,0.491,Medium
31.000186,75.737987,7.37,52.27,12.48,clay,11.61,9.41,0.71,-17.2,0.455,0.207,0.202,Low
30.990465,75.775266,209.03,159.45,9.01,clay,11.51,8.49,3.24,-8.07,0.164,0.984,0.531,Medium
30.869781,75.664054,167.95,479.23,6.96,loamy,18.45,6.4,2.16,-24.27,0.614,0.197,0.238,Low
30.955534,75.881894,61.74,376.16,24.26,sandy,10.18,8.72,0.93,-16.85,0.458,0.262,0.147,Low
31.011086,75.855643,179.09,305.65,17.61,sandy,84.55,6.17,4.07,-7.35,0.297,0.614,0.478,Medium
30.853579,75.647145,91.61,91.52,20.8,loamy,41.82,1.38,1.92,-20.36,0.636,0.693,0.4,Medium
31.19996,75.821965,146.89,70.15,9.44,loamy,5.36,3.59,0.05,-21.59,0.815,0.964,0.459,Medium
30.997988,75.873879,124.69,419.95,14.66,sandy,3.09,7.61,1.46,-18.13,0.538,0.168,0.165,Low
31.097007,75.906368,164.92,56.61,3.43,clay,82.33,3.67,4.11,-23.96,0.719,0.546,0.584,Medium
30.840967,75.932028,225.4,148.85,29.98,loamy,34.86,8.17,2.2,-0.15,0.776,0.237,0.412,Medium
31.03517,75.740252,213.23,316.39,4.98,sandy,20.66,2.07,0.3,-16.23,0.281,0.539,0.438,Medium
31.081622,75.715733,80.2,429.01,29.56,loamy,9.52,9.63,3.93,-2.03,0.992,0.867,0.231,Low
31.146432,75.699871,213.42,414.24,22.84,loamy,48.95,5.77,1.34,-14.64,0.452,0.634,0.461,Medium
30.837238,75.806245,83.47,468.17,11.07,clay,32.73,0.02,3.87,-6.68,0.731,0.458,0.333,Medium
30.943289,75.625332,160.33,108.91,12.89,sandy,26.85,8.28,1.69,-10.55,0.566,0.485,0.382,Medium
31.073021,75.619364,29.87,391.94,13.79,sandy,85.77,4.41,0.0,-1.05,0.202,0.689,0.399,Medium
31.059999,75.663591,279.82,137.01,19.64,sandy,37.18,9.04,0.83,-15.09,0.306,0.699,0.54,Medium
31.062194,75.881479,0.33,238.4,3.98,sandy,68.0,0.09,3.48,-4.57,0.988,0.422,0.307,Low
30.828331,75.753228,219.23,51.21,9.4,clay,13.71,7.73,3.77,-21.67,0.993,0.143,0.381,Medium
30.80339,75.860008,132.03,361.22,18.84,sandy,41.17,6.87,4.3,-22.83,0.1,0.752,0.342,Medium
30.953613,75.985299,94.35,69.92,8.31,sandy,55.34,6.0,3.04,-5.53,0.69,0.848,0.482,Medium
30.92066,75.8071,152.86,373.92,8.87,sandy,89.79,9.55,2.47,-22.18,0.5,0.594,0.446,Medium
31.191079,75.994753,280.18,65.99,25.82,loamy,36.54,6.83,3.81,-1.14,0.77,0.017,0.409,Medium
30.904874,75.615931,18.14,394.64,15.2,loamy,50.1,4.15,3.51,-22.94,0.537,0.616,0.227,Low
30.923963,75.804522,60.96,404.03,16.09,sandy,63.43,8.35,3.41,-23.35,0.699,0.73,0.318,Low
30.823162,75.634485,130.35,226.69,18.26,sandy,74.17,7.41,0.6,-7.3,0.701,0.164,0.396,Medium
31.009202,75.913195,216.23,83.48,3.81,clay,26.88,8.86,3.86,-24.27,0.807,0.272,0.402,Medium
31.084929,75.830661,23.12,227.6,10.8,loamy,56.69,3.68,1.28,-22.43,0.574,0.723,0.331,Medium
31.00353,75.617615,258.88,122.28,14.15,sandy,15.01,9.31,4.29,-11.18,0.914,0.741,0.474,Medium
30.928721,75.766503,216.09,135.63,2.34,sandy,50.2,9.02,0.9,-4.89,0.981,0.954,0.595,Medium
30.986038,75.712923,253.45,163.65,16.59,sandy,20.07,5.64,1.52,-9.43,0.464,0.592,0.489,Medium
31.109045,75.678169,270.13,380.24,7.35,sandy,41.0,2.33,1.73,-4.01,0.877,0.951,0.597,Medium
31.062922,75.939602,218.16,51.97,15.89,sandy,49.2,0.6,4.98,-7.21,0.093,0.921,0.613,Medium
31.007904,75.880339,111.75,487.28,2.55,sandy,13.35,8.2,0.37,-10.8,0.435,0.964,0.353,Medium
30.904396,75.726004,240.25,350.36,22.06,sandy,27.2,0.75,1.01,-5.5,0.585,0.155,0.381,Medium
30.986422,75.762605,160.78,482.32,6.23,sandy,26.5,1.2,0.79,-7.85,0.826,0.697,0.398,Medium
31.13437,75.731117,27.36,124.11,10.67,loamy,67.72,2.6,4.95,-24.22,0.404,0.452,0.31,Low
30.899941,75.784817,241.17,69.9,0.36,clay,98.26,1.31,4.12,-15.69,0.63,0.645,0.826,High
30.903528,75.925099,6.54,32.24,27.07,loamy,12.88,9.05,4.15,-16.71,0.043,0.461,0.139,Low
31.029554,75.928674,118.5,14.74,20.5,sandy,21.47,1.87,1.4,-2.91,0.035,0.619,0.409,Medium
30.918042,75.764797,165.21,30.49,8.39,sandy,19.95,8.85,2.63,-9.23,0.802,0.795,0.475,Medium
31.112766,75.743645,163.36,242.34,27.38,loamy,38.84,1.8,1.59,-19.52,0.896,0.779,0.421,Medium
31.196613,75.811773,230.05,499.8,29.22,sandy,65.69,2.67,4.08,-2.07,0.056,0.996,0.542,Medium
31.138602,75.918956,106.44,419.61,25.36,sandy,59.25,8.06,3.49,-2.15,0.028,0.701,0.377,Medium
31.025443,75.825244,56.47,494.0,26.45,loamy,30.91,4.9,0.45,-19.18,0.219,0.526,0.193,Low
31.167158,75.680586,39.15,358.47,27.56,clay,32.36,0.22,2.93,-2.07,0.774,0.846,0.385,Medium
31.184224,75.749436,282.58,197.8,3.03,sandy,13.65,1.58,4.74,-5.2,0.961,0.649,0.516,Medium
31.187497,75.877424,278.65,393.5,6.7,loamy,17.54,3.07,3.44,-21.82,0.729,0.949,0.538,Medium
30.956641,75.997713,289.56,16.19,18.07,clay,96.75,2.21,2.83,-1.58,0.141,0.745,0.896,High
31.192952,75.667155,265.6,44.36,21.27,loamy,88.67,4.47,1.33,-18.76,0.068,0.257,0.661,High
30.800512,75.754375,219.78,484.55,26.54,loamy,37.87,5.46,0.51,-13.01,0.864,0.651,0.434,Medium
30.865063,75.629484,253.73,147.45,9.56,clay,7.42,1.7,1.88,-6.7,0.547,0.898,0.596,Medium
31.037612,75.845458,144.82,15.5,28.27,sandy,88.98,1.57,0.51,-19.86,0.19,0.697,0.568,Medium
31.09199,75.706106,84.46,118.77,1.49,loamy,83.99,1.54,1.8,-14.31,0.295,0.662,0.508,Medium
30.87987,75.610294,51.25,145.91,2.46,clay,30.84,3.97,2.45,-8.47,0.091,0.544,0.365,Medium
31.154197,75.747761,133.73,131.65,13.95,sandy,26.86,0.62,3.76,-8.31,0.086,0.344,0.351,Medium
